Ticks,Tics,TicDelta,Ax-1,Ay-1,Az-1,Ax,Ay,Az,Distance,DistanceDelta,Ax-avg,Ay-avg,Az-avg,DistanceDelta-avg,Ax-avgN,Ay-avgN,Az-avgN,A-mag,DistanceDelta-1
841278,19306,215,-0.7980464,0.03321123,0.2383394,-1.721123,-0.7579976,0.6349206,24.4743,0.2356,-1.1817338,-0.675164794,0.624175852,0.22356,0.03106228,0.0490356,-0.023834,1.984930455,0.2191
841479,19507,201,-1.721123,-0.7579976,0.6349206,-1.270818,-1.055922,0.7619048,24.6963,0.222,-1.1821244,-0.658754534,0.612649601,0.2237,-0.0003906,0.01641026,-0.011526251,1.819463818,0.2356
841679,19707,200,-1.270818,-1.055922,0.7619048,-0.7628816,-1.033455,1.424176,24.9172,0.2209,-1.26905972,-0.667936462,0.569670365,0.22406,-0.08693532,-0.009181928,-0.042979236,1.917888123,0.222
841879,19907,200,-0.7628816,-1.033455,1.424176,-1.357753,-0.4796093,0.003907204,25.1381,0.2209,-1.13836392,-0.621636082,0.604639845,0.22906,0.1306958,0.04630038,0.03496948,1.439976929,0.2209
842079,20107,200,-1.357753,-0.4796093,0.003907204,-1.232723,-0.01269841,0.02344322,25.359,0.2209,-1.10866912,-0.710915682,0.539194165,0.22962,0.0296948,-0.0892796,-0.06544568,1.233011285,0.2209
842315,20343,236,-1.232723,-0.01269841,0.02344322,-1.067644,-0.5264957,0.809768,25.6196,0.2606,-1.3214164,-0.710329682,0.425299145,0.23062,-0.21274728,0.000586,-0.11389502,1.439717211,0.2209
842515,20543,200,-1.067644,-0.5264957,0.809768,-1.122344,-1.50232,0.4346764,25.8444,0.2248,-1.3179,-0.676141642,0.471404144,0.2314,0.0035164,0.03418804,0.046104999,1.924984418,0.2606
842716,20744,201,-1.122344,-1.50232,0.4346764,-1.826618,-1.030525,0.8547009,26.0703,0.2259,-1.3552138,-0.56576312,0.4868376,0.23218,-0.0373138,0.110378522,0.015433456,2.264735906,0.2248
842916,20944,200,-1.826618,-1.030525,0.8547009,-1.340171,-0.3086691,0.2344322,26.2951,0.2248,-1.4712576,-0.61753358,0.51848596,0.22928,-0.1160438,-0.05177046,0.03164836,1.39509619,0.2259
843116,21144,200,-1.340171,-0.3086691,0.2344322,-1.419292,0.5391942,0.1006105,26.5199,0.2248,-1.42652018,-0.57494498,0.57103786,0.22946,0.04473742,0.0425886,0.0525519,1.52159214,0.2248
